iter	Passed	Remaining
0	163	163000
1	169	84509
2	175	58402
3	180	44900
4	184	36771
5	189	31434
6	193	27499
7	197	24526
8	203	22385
9	207	20523
10	211	19031
11	216	17805
12	221	16851
13	226	15916
14	230	15131
15	238	14691
16	243	14067
17	249	13612
18	254	13164
19	258	12659
20	262	12229
21	267	11887
22	271	11534
23	273	11138
24	278	10853
25	285	10709
26	289	10416
27	291	10105
28	297	9952
29	300	9731
30	304	9509
31	307	9300
32	315	9251
33	319	9088
34	325	8961
35	331	8889
36	335	8738
37	339	8605
38	345	8512
39	349	8385
40	353	8272
41	359	8201
42	362	8072
43	366	7953
44	375	7964
45	379	7867
46	383	7775
47	391	7760
48	395	7678
49	399	7599
50	407	7579
51	409	7458
52	412	7365
53	415	7284
54	422	7261
55	425	7178
56	429	7101
57	433	7036
58	440	7026
59	444	6963
60	448	6907
61	455	6898
62	459	6831
63	462	6766
64	466	6711
65	474	6707
66	478	6661
67	481	6602
68	489	6602
69	493	6559
70	499	6531
71	505	6512
72	509	6467
73	513	6423
74	520	6421
75	524	6380
76	527	6329
77	531	6285
78	537	6270
79	541	6229
80	547	6210
81	553	6192
82	557	6153
83	561	6120
84	567	6112
85	574	6102
86	578	6072
87	584	6055
88	589	6033
89	593	5999
90	600	6002
91	604	5963
92	607	5924
93	611	5893
94	618	5887
95	621	5856
96	627	5842
97	632	5825
98	636	5794
99	641	5773
100	648	5768
101	651	5740
102	656	5715
103	661	5697
104	664	5668
105	668	5636
106	671	5604
107	676	5590
108	681	5569
109	685	5543
110	689	5522
111	694	5508
112	698	5479
113	701	5449
114	704	5420
115	708	5396
116	712	5377
117	715	5350
118	719	5324
119	722	5297
120	727	5284
121	730	5259
122	734	5235
123	737	5213
124	743	5202
125	747	5182
126	751	5167
127	755	5144
128	760	5133
129	763	5110
130	767	5088
131	770	5064
132	775	5057
133	778	5034
134	782	5012
135	785	4990
136	790	4980
137	795	4967
138	798	4947
139	802	4929
140	808	4925
141	812	4910
142	816	4894
143	820	4878
144	824	4863
145	828	4845
146	831	4825
147	834	4806
148	839	4797
149	843	4778
150	846	4759
151	849	4740
152	854	4731
153	859	4719
154	862	4701
155	865	4682
156	870	4673
157	875	4664
158	879	4649
159	883	4635
160	888	4632
161	892	4615
162	895	4598
163	898	4581
164	904	4579
165	908	4562
166	911	4546
167	914	4531
168	920	4528
169	924	4515
170	931	4513
171	938	4516
172	942	4507
173	948	4500
174	955	4502
175	958	4489
176	962	4477
177	969	4475
178	973	4463
179	976	4450
180	983	4451
181	988	4442
182	993	4436
183	997	4425
184	1003	4419
185	1007	4408
186	1015	4415
187	1021	4411
188	1026	4404
189	1034	4409
190	1040	4407
191	1047	4409
192	1056	4418
193	1069	4442
194	1076	4444
195	1105	4534
196	1125	4585
197	1154	4674
198	1169	4706
199	1183	4735
200	1191	4737
201	1234	4876
202	1251	4912
203	1259	4915
204	1279	4962
205	1303	5023
206	1328	5089
207	1337	5094
208	1354	5125
209	1368	5149
210	1375	5143
211	1391	5173
212	1409	5207
213	1423	5228
214	1440	5258
215	1458	5294
216	1470	5306
217	1476	5295
218	1486	5302
219	1491	5288
220	1497	5280
221	1507	5281
222	1519	5295
223	1525	5283
224	1533	5282
225	1537	5266
226	1544	5258
227	1553	5258
228	1559	5251
229	1564	5237
230	1571	5230
231	1582	5237
232	1593	5246
233	1600	5238
234	1605	5225
235	1615	5228
236	1662	5352
237	1670	5349
238	1683	5359
239	1694	5365
240	1707	5376
241	1726	5406
242	1738	5416
243	1786	5535
244	1799	5545
245	1811	5552
246	1833	5589
247	1849	5608
248	1857	5600
249	1862	5587
250	1867	5573
251	1876	5569
252	1883	5561
253	1894	5565
254	1899	5549
255	1908	5547
256	1916	5540
257	1927	5544
258	1932	5529
259	1941	5526
260	1948	5516
261	1958	5516
262	1962	5499
263	1968	5487
264	1975	5479
265	1979	5463
266	1992	5470
267	2005	5478
268	2010	5462
269	2014	5446
270	2027	5454
